Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,4/06/2020,9667.060754,9516.379828,9680.206444,9406.971187
BTC,5/06/2020,9811.367095,9667.085402,9875.662127,9472.251048
BTC,6/06/2020,9659.661298,9811.829378,9860.231447,9619.617459
BTC,7/06/2020,9677.050995,9659.053118,9736.271128,9542.773398
BTC,8/06/2020,9737.458559,9677.050684,9804.446487,9392.842926
BTC,9/06/2020,9791.9279,9737.457447,9803.573516,9652.310114
BTC,10/06/2020,9786.14202,9790.073884,9870.519387,9610.024354
BTC,11/06/2020,9874.967048,9787.914131,9979.715526,9711.85958
BTC,12/06/2020,9260.832641,9875.014214,9962.180331,9108.473046
BTC,13/06/2020,9464.228097,9261.481444,9558.770602,9238.389181
BTC,14/06/2020,9458.659754,9464.086079,9492.899884,9359.847047
BTC,15/06/2020,9351.953728,9458.659753,9481.697453,9250.032408
BTC,16/06/2020,9441.768996,9351.605477,9498.609999,8910.198265
BTC,17/06/2020,9510.660637,9442.016988,9595.222935,9380.74608
BTC,18/06/2020,9457.627074,9510.641266,9557.46842,9240.646056
BTC,19/06/2020,9398.642094,9457.464837,9480.374487,9276.427094
BTC,20/06/2020,9279.760765,9398.685603,9427.177661,9236.657272
BTC,21/06/2020,9353.078196,9278.469146,9391.025094,9178.382279
BTC,22/06/2020,9289.104491,9353.078187,9412.648505,9278.923226
BTC,23/06/2020,9680.947128,9288.60316,9775.102839,9272.796157
BTC,24/06/2020,9609.680246,9680.947129,9720.765241,9576.910848
BTC,25/06/2020,9311.136318,9609.680246,9678.98608,9206.958895
BTC,26/06/2020,9252.633372,9310.989646,9333.346057,9002.374468
BTC,27/06/2020,9171.732086,9252.684713,9292.245367,9046.231365
BTC,28/06/2020,9022.153768,9171.554012,9192.768265,8843.317702
BTC,29/06/2020,9101.850057,9022.012126,9190.117478,8949.755974
BTC,30/06/2020,9188.061375,9101.877703,9233.529361,9032.435483
BTC,1/07/2020,9148.444859,9188.037401,9201.648794,9067.19084
BTC,2/07/2020,9236.31677,9141.34826,9300.998983,9096.778646
BTC,3/07/2020,9097.797366,9240.169628,9267.123022,8957.632801
BTC,4/07/2020,9094.324561,9097.683628,9132.985825,9065.858012
BTC,5/07/2020,9124.653534,9067.937487,9190.818987,9051.870726
BTC,6/07/2020,9055.464483,9141.07507,9149.765584,8919.762981
BTC,7/07/2020,9278.805637,9078.614127,9356.327421,9063.727627
BTC,8/07/2020,9244.415815,9344.987626,9374.083533,9216.518048
BTC,9/07/2020,9471.759973,9262.805251,9472.080067,9239.543297
BTC,10/07/2020,9236.143254,9444.728112,9449.911243,9173.165154
BTC,11/07/2020,9243.175259,9239.473351,9260.349785,9133.962338
BTC,12/07/2020,9229.859755,9289.580029,9304.962551,9190.032623
BTC,13/07/2020,9286.737042,9243.766253,9349.001062,9170.73536
BTC,14/07/2020,9238.993755,9310.395069,9339.806986,9206.291978
BTC,15/07/2020,9260.47098,9241.763724,9279.093222,9125.214524
BTC,16/07/2020,9211.026433,9261.511425,9275.45244,9167.649721
BTC,17/07/2020,9133.77783,9192.623666,9219.426492,9048.084922
BTC,18/07/2020,9160.410591,9132.454747,9186.96179,9085.977619
BTC,19/07/2020,9176.68639,9159.369281,9212.520944,9130.022301
BTC,20/07/2020,9190.271534,9182.914419,9197.726524,9117.058699
BTC,21/07/2020,9172.588333,9213.358566,9223.07652,9152.280649
BTC,22/07/2020,9395.064446,9166.298231,9445.579319,9159.972579
BTC,23/07/2020,9530.790885,9399.730238,9551.996412,9313.812944
BTC,24/07/2020,9617.377861,9534.116269,9681.909452,9452.744476
BTC,25/07/2020,9568.974726,9617.389459,9646.957118,9479.577351
BTC,26/07/2020,9708.94914,9557.065314,9746.556096,9546.032528
BTC,27/07/2020,9938.951223,9714.685123,10135.88216,9670.416834
BTC,28/07/2020,11187.77973,9940.111573,11394.84875,9930.83996
BTC,29/07/2020,10939.67014,11040.79047,11254.55134,10580.1286
BTC,30/07/2020,11284.45899,10930.45278,11318.0871,10852.88097
BTC,31/07/2020,11118.91841,11118.88858,11180.43064,10847.20085
BTC,1/08/2020,11373.31726,11112.42116,11467.95059,10980.82391
BTC,2/08/2020,11766.7483,11352.71504,11880.77364,11241.97677
BTC,3/08/2020,11139.09838,11820.51291,12117.67708,10658.94608
BTC,4/08/2020,11261.80633,11071.26711,11480.28338,10956.56291
BTC,5/08/2020,11228.02632,11237.22451,11400.06419,11045.96842
BTC,6/08/2020,11653.40759,11196.28746,11791.10323,11107.1352
BTC,7/08/2020,11796.81736,11756.89486,11917.76504,11581.57513
BTC,8/08/2020,11639.93541,11780.04401,11917.85915,11347.41279
BTC,9/08/2020,11744.91208,11610.9087,11814.95666,11543.3477
BTC,10/08/2020,11673.12324,11770.45097,11802.66293,11536.75286
BTC,11/08/2020,11832.22731,11693.17945,12070.44182,11546.95776
BTC,12/08/2020,11340.58234,11903.3335,11941.6518,11137.81368
BTC,13/08/2020,11549.54631,11399.06848,11626.23784,11166.54478
BTC,14/08/2020,11752.16866,11571.10263,11795.43575,11287.64679
BTC,15/08/2020,11783.28341,11789.95953,11867.28291,11663.41146
BTC,16/08/2020,11895.62695,11782.78559,11987.65155,11714.58902
BTC,17/08/2020,11896.94717,11862.38742,11938.8761,11705.49261
BTC,18/08/2020,12399.11188,11916.58022,12476.69704,11778.30371
BTC,19/08/2020,12071.73891,12299.81621,12391.84071,11840.39237
BTC,20/08/2020,11749.82951,11959.02939,12029.75799,11589.5762
BTC,21/08/2020,11833.89735,11766.18313,11899.96341,11690.15508
BTC,22/08/2020,11583.13894,11866.28401,11890.03166,11525.26123
BTC,23/08/2020,11674.62435,11539.71729,11694.47049,11393.21033
BTC,24/08/2020,11666.41012,11677.05824,11726.23458,11539.08981
BTC,25/08/2020,11744.0127,11660.39682,11835.35928,11601.74066
BTC,26/08/2020,11378.72603,11759.3614,11771.3353,11133.16876
BTC,27/08/2020,11458.8226,11334.03573,11546.20239,11265.22814
BTC,28/08/2020,11302.12096,11467.29065,11594.64626,11157.08574
BTC,29/08/2020,11482.22569,11339.74802,11553.53918,11294.18591
BTC,30/08/2020,11515.04443,11540.72864,11586.30657,11435.40076
BTC,31/08/2020,11657.00393,11483.12875,11694.6708,11476.07202
BTC,1/09/2020,11678.37326,11712.97262,11799.52944,11579.88329
BTC,2/09/2020,11964.20867,11661.42734,12070.22741,11544.42003
BTC,3/09/2020,11427.7026,11923.19964,11954.16268,11217.45383
BTC,4/09/2020,10712.92065,11409.72633,11470.80702,10505.14681
BTC,5/09/2020,10563.89694,10177.72164,10644.24117,10118.71861
BTC,6/09/2020,10042.85485,10470.02669,10574.30731,9894.2254
BTC,7/09/2020,10207.605,10174.86343,10355.65249,10014.27766
BTC,8/09/2020,10381.77611,10265.74299,10383.11924,9891.734243
BTC,9/09/2020,10043.19644,10381.67682,10444.17113,9868.937984
BTC,10/09/2020,10268.46092,10136.56084,10352.41519,9989.510556
BTC,11/09/2020,10341.01598,10230.63553,10483.56121,10224.03739
BTC,12/09/2020,10380.5396,10347.66121,10403.75568,10214.66973
BTC,13/09/2020,10436.36541,10400.85545,10484.8759,10286.42747
BTC,14/09/2020,10313.06858,10450.94952,10585.88066,10226.42392
BTC,15/09/2020,10680.29756,10337.71258,10759.1361,10281.58014
BTC,16/09/2020,10829.50531,10683.00291,10944.65131,10636.18826
BTC,17/09/2020,11033.38353,10792.31023,11103.79648,10683.79026
BTC,18/09/2020,10937.11126,10966.38648,11061.28463,10762.41738
BTC,19/09/2020,10933.93116,10947.23137,11035.0532,10830.85247
BTC,20/09/2020,11048.87928,10940.13447,11180.39531,10904.19962
BTC,21/09/2020,10852.91014,11085.429,11085.429,10773.33219
BTC,22/09/2020,10526.20289,10925.51079,10991.69454,10322.59482
BTC,23/09/2020,10531.16456,10423.27155,10579.30131,10371.91657
BTC,24/09/2020,10260.03301,10536.31722,10541.16888,10209.06313
BTC,25/09/2020,10672.95681,10241.16589,10712.49925,10200.88278
BTC,26/09/2020,10729.06961,10736.65234,10759.7111,10569.43458
BTC,27/09/2020,10741.47647,10692.46427,10777.57591,10657.52315
BTC,28/09/2020,10752.34545,10734.50124,10802.37407,10599.58841
BTC,29/09/2020,10863.06572,10776.30436,10948.06266,10776.30436
BTC,30/09/2020,10764.28437,10691.97856,10793.60349,10640.69415
BTC,1/10/2020,10741.57955,10843.38826,10849.73073,10672.79503
BTC,2/10/2020,10626.60096,10778.89849,10931.6335,10470.69372
BTC,3/10/2020,10567.3302,10624.91072,10670.71056,10386.91138
BTC,4/10/2020,10555.02868,10578.91957,10609.23748,10512.33934
BTC,5/10/2020,10660.61118,10559.31466,10702.51138,10535.82272
BTC,6/10/2020,10756.40458,10672.16544,10770.46301,10630.95649
BTC,7/10/2020,10589.62639,10793.15206,10798.98132,10543.48911
BTC,8/10/2020,10645.75479,10600.66078,10680.64123,10554.84167
BTC,9/10/2020,10897.59543,10669.07004,10949.34337,10544.3758
BTC,10/10/2020,11052.39508,10929.59262,11106.33446,10843.4743
BTC,11/10/2020,11360.85272,11059.81357,11484.16448,11058.74049
BTC,12/10/2020,11334.02674,11293.20701,11436.21148,11282.50356
BTC,13/10/2020,11666.2117,11372.10996,11723.64386,11210.86134
BTC,14/10/2020,11443.73279,11534.60957,11564.64006,11333.53492
BTC,15/10/2020,11395.54737,11431.09404,11540.06492,11302.77704
BTC,16/10/2020,11504.54901,11433.45754,11610.2504,11291.89809
BTC,17/10/2020,11355.16044,11511.9022,11544.48601,11227.07106
BTC,18/10/2020,11358.70638,11329.99473,11410.16368,11282.94789
BTC,19/10/2020,11471.00255,11368.41235,11486.98541,11356.17416
BTC,20/10/2020,11776.593,11514.6451,11825.64774,11419.08229
BTC,21/10/2020,11936.36291,11754.18203,11993.92588,11693.78394
BTC,22/10/2020,13102.93446,11920.41139,13109.16597,11900.21384
BTC,23/10/2020,13140.66928,12801.68807,13192.25287,12697.45705
BTC,24/10/2020,12933.82357,12980.8801,13029.96389,12731.05779
BTC,25/10/2020,13081.67256,12929.8494,13168.33883,12877.93801
BTC,26/10/2020,13008.45326,13115.83352,13342.75028,12906.70059
BTC,27/10/2020,13033.52427,13038.91554,13243.9959,12811.54603
BTC,28/10/2020,13721.28222,13069.23614,13756.3317,13062.40879
BTC,29/10/2020,13282.26035,13647.57292,13847.53352,12894.89932
BTC,30/10/2020,13467.73178,13280.36559,13640.13894,12994.98437
BTC,31/10/2020,13573.7105,13461.38352,13667.74723,13134.48008
BTC,1/11/2020,13891.21683,13574.92722,14093.05295,13438.93538
BTC,2/11/2020,13730.19731,13810.64198,13907.31295,13641.54034
BTC,3/11/2020,13633.69822,13768.95676,13837.85118,13270.20734
BTC,4/11/2020,13832.93841,13565.13068,13842.47454,13301.61195
BTC,5/11/2020,14163.97682,14014.73488,14257.52971,13582.4022
BTC,6/11/2020,15424.52768,14156.60864,15494.57817,14104.90209
BTC,7/11/2020,15540.59659,15607.5055,15971.64142,15202.76451
BTC,8/11/2020,14783.98168,15603.25854,15764.1047,14330.68183
BTC,9/11/2020,15500.33425,14820.43647,15657.12904,14711.54819
BTC,10/11/2020,15283.78014,15481.90608,15810.77379,14845.79176
BTC,11/11/2020,15374.04439,15327.58839,15448.41275,15092.3898
BTC,12/11/2020,15820.49524,15316.74901,15973.07608,15294.29332
BTC,13/11/2020,16253.31027,15701.8651,16348.4628,15474.76108
BTC,14/11/2020,16347.04492,16302.8428,16487.48815,15971.1428
BTC,15/11/2020,15991.83302,16329.79889,16333.51314,15718.88879
BTC,16/11/2020,15918.08013,16078.97001,16167.39692,15792.77908
BTC,17/11/2020,16752.00299,15969.51601,16885.58019,15881.70385
BTC,18/11/2020,17593.48641,16718.59966,17831.23118,16560.99963
BTC,19/11/2020,17834.63653,17672.65284,18358.97625,17283.49485
BTC,20/11/2020,17954.85801,17786.21258,18170.83027,17381.23626
BTC,21/11/2020,18612.87067,17823.3433,18813.40769,17762.92882
BTC,22/11/2020,18591.8566,18666.58022,18964.64351,18368.28996
BTC,23/11/2020,18629.99554,18683.8472,18732.99132,17806.2676
BTC,24/11/2020,18469.20047,18405.5557,18752.16004,17990.11089
BTC,25/11/2020,19045.73647,18370.21961,19392.90868,18059.26543
BTC,26/11/2020,18746.93481,19136.08297,19391.46366,18640.64218
BTC,27/11/2020,17187.40628,18719.20716,18908.63553,16242.70294
BTC,28/11/2020,17023.9614,17180.71873,17482.2001,16489.30267
BTC,29/11/2020,17814.78028,17159.1095,17901.38262,16906.1761
BTC,30/11/2020,18114.41435,17742.82304,18356.31323,17545.19622
BTC,1/12/2020,19382.36059,18201.27725,19850.11449,18201.27725
BTC,2/12/2020,18980.97745,19677.98984,19920.53426,18171.75051
BTC,3/12/2020,19184.89785,18796.74864,19357.16459,18360.23172
BTC,4/12/2020,19464.5317,19220.59015,19607.85534,18899.48869
BTC,5/12/2020,18813.12476,19441.5588,19539.86235,18717.12493
BTC,6/12/2020,19045.02027,18668.15855,19200.79191,18518.85142
BTC,7/12/2020,19113.9334,19162.26446,19347.62491,18927.29956
BTC,8/12/2020,19107.5998,19373.44523,19433.09749,18931.5713
BTC,9/12/2020,18682.45783,19177.92617,19299.04708,18630.74248
BTC,10/12/2020,18543.00705,18320.23313,18618.96013,17640.56207
BTC,11/12/2020,18359.4766,18557.45291,18565.21617,17904.06899
BTC,12/12/2020,18137.31937,18255.77375,18293.55273,17593.1721
BTC,13/12/2020,18882.26017,18040.17062,18956.34444,18029.14317
BTC,14/12/2020,19060.2769,18822.50994,19408.67465,18726.84709
BTC,15/12/2020,19251.224,19161.13847,19323.16531,19015.68597
BTC,16/12/2020,19443.47635,19264.6703,19552.37198,19053.34247
BTC,17/12/2020,21310.65626,19433.14137,21447.52385,19293.29896
BTC,18/12/2020,22895.97624,21351.25481,23770.84657,21248.36533
BTC,19/12/2020,23008.77626,22819.5589,23261.25288,22357.60765
BTC,20/12/2020,23890.82265,23126.60677,24122.67327,22781.87678
BTC,21/12/2020,23537.36989,23829.2848,24273.0415,23085.95477
BTC,22/12/2020,23177.271,23476.0875,24081.05309,21960.19135
BTC,23/12/2020,23433.98076,22729.65929,23629.40446,22384.12785
BTC,24/12/2020,23224.45414,23791.56529,24086.95066,22644.56106
BTC,25/12/2020,23623.88553,23228.90909,23737.75715,22716.17417
BTC,26/12/2020,24581.00617,23726.191,24627.29791,23422.31033
BTC,27/12/2020,26381.29623,24708.20678,26750.87995,24497.41087
BTC,28/12/2020,26389.29026,26447.70807,28352.62782,25759.06861
BTC,29/12/2020,26718.02946,26226.06613,27447.55138,26046.62558
BTC,30/12/2020,26975.72956,27038.73568,27169.22556,25875.04979
BTC,31/12/2020,28768.83621,27349.32723,28928.21439,27349.2832
BTC,1/01/2021,29111.52157,28872.82977,29280.04533,27916.62506
BTC,2/01/2021,29333.60512,28935.81098,29601.5949,28753.41231
BTC,3/01/2021,32154.16736,29353.64061,33064.67353,29012.92789
BTC,4/01/2021,33002.53643,32074.10661,34452.08034,31885.58162
BTC,5/01/2021,31431.61228,32788.58345,33358.39935,28154.1103
BTC,6/01/2021,34433.60651,31991.92686,34435.41748,29948.65363
BTC,7/01/2021,36275.75635,34001.34476,36461.69177,33351.02812
BTC,8/01/2021,39713.50786,36806.41976,40324.01403,36356.43076
BTC,9/01/2021,40519.4486,39420.8007,41962.36213,36741.33018
BTC,10/01/2021,40258.92399,40558.10212,41375.43068,38766.27616
BTC,11/01/2021,38709.76537,40096.3332,41186.52343,34897.55047
BTC,12/01/2021,34409.64238,38132.53579,38204.75441,30305.30005
BTC,13/01/2021,34214.61026,35432.85914,36566.90906,32538.94117
BTC,14/01/2021,37017.0075,34070.32562,37798.8601,32470.58526
BTC,15/01/2021,38435.86351,37373.16196,40066.31976,36770.79512
BTC,16/01/2021,36751.58497,39127.67852,39673.0723,34425.48794
BTC,17/01/2021,36016.77961,36752.77118,37943.51217,35398.86752
BTC,18/01/2021,36375.81138,36016.75309,36840.13285,33870.13838
BTC,19/01/2021,36346.6095,35847.83342,37440.40401,34816.28925
BTC,20/01/2021,36577.51965,36639.98591,37876.15893,36136.53557
BTC,21/01/2021,35004.53263,35909.43225,36409.7086,33430.82199
BTC,22/01/2021,30606.18268,35491.42392,35612.7372,30077.27896
BTC,23/01/2021,33368.36593,30844.83315,33873.77299,28845.31148
BTC,24/01/2021,32070.09743,33000.44664,33501.24845,31451.2963
BTC,25/01/2021,32285.72613,32107.39182,33088.54855,30987.70386
BTC,26/01/2021,32500.25596,32297.50417,34893.98402,31949.28237
BTC,27/01/2021,32324.55565,32270.82562,32770.80461,31062.54953
BTC,28/01/2021,30534.99937,32497.84846,32570.2815,29452.78559
BTC,29/01/2021,33408.21834,30426.0844,33481.48542,29921.96008
BTC,30/01/2021,34842.55739,33424.59559,38468.07829,31984.00892
BTC,31/01/2021,34622.37323,34265.37666,34920.29115,32945.36998
BTC,1/02/2021,33087.36986,34304.23451,34373.73401,32229.54518
BTC,2/02/2021,33613.32076,33138.77651,34715.65573,32341.98991
BTC,3/02/2021,35632.90195,33525.28825,36008.31082,33437.74691
BTC,4/02/2021,37397.42636,35519.70777,37505.30371,35416.73178
BTC,5/02/2021,37256.25211,37645.94564,38731.08795,36207.49431
BTC,6/02/2021,37851.59659,36970.81227,38332.41692,36637.64562
BTC,7/02/2021,40302.79979,38305.27539,40999.04684,38233.72667
BTC,8/02/2021,38461.6814,39253.22773,39698.0659,37388.34169
BTC,9/02/2021,44716.68547,38853.29945,44981.86,38036.28325
BTC,10/02/2021,46674.85169,46433.48964,48226.25089,45058.069
BTC,11/02/2021,45237.47569,46512.99056,47374.35591,43886.27604
BTC,12/02/2021,47500.89752,44859.84767,48600.63193,44070.72706
BTC,13/02/2021,47884.18286,47992.62291,48925.53448,46550.14795
BTC,14/02/2021,47005.19065,47405.55715,48189.77799,46333.57366
BTC,15/02/2021,49151.16758,47231.13334,49716.43638,47105.17175
BTC,16/02/2021,48125.9922,48654.83072,49037.91611,45926.25155
BTC,17/02/2021,48840.41447,47944.48497,50584.84895,47088.83608
BTC,18/02/2021,52165.30256,49186.33387,52621.83507,48990.89519
BTC,19/02/2021,51728.5088,52146.00339,52532.29712,50971.74318
BTC,20/02/2021,55719.20436,51598.14371,56283.54984,50821.47282
BTC,21/02/2021,54801.64864,55917.03918,57487.02831,54039.67392
BTC,22/02/2021,57128.64261,55913.35145,58332.36462,55531.5507
BTC,23/02/2021,54181.91465,57453.35801,57535.86348,47780.74958
BTC,24/02/2021,48172.87748,54124.53909,54180.23218,45047.78286
BTC,25/02/2021,48745.43298,48923.03508,51413.61356,47032.52426
BTC,26/02/2021,48291.41208,49746.65163,52076.31772,47501.6748
BTC,27/02/2021,45752.11492,47135.55173,48453.73863,44279.44954
BTC,28/02/2021,46642.60608,46326.82407,48353.001,46207.70578
BTC,1/03/2021,45092.80657,46204.05856,46675.19785,43119.15702
BTC,2/03/2021,49248.91401,45234.36876,49520.72499,45044.38376
BTC,3/03/2021,47900.77688,49636.02146,50211.43717,47200.04217
BTC,4/03/2021,50811.85517,48526.99036,52636.22299,48195.1231
BTC,5/03/2021,48259.48708,50433.43615,51781.96783,47578.30723
BTC,6/03/2021,49149.73083,48404.21363,49462.13301,46393.39146
BTC,7/03/2021,48879.1519,48791.79051,49173.76187,47127.04097
BTC,8/03/2021,50594.69857,48887.56641,51222.8723,48887.56641
BTC,9/03/2021,51503.25813,50948.88071,51916.41395,49390.18272
BTC,10/03/2021,54458.03781,52360.74816,54804.07845,51865.59003
BTC,11/03/2021,56915.17394,54924.68653,57336.74541,53101.23637
BTC,12/03/2021,57636.75796,55898.86482,58034.70396,54323.6085
BTC,13/03/2021,57306.16626,57817.27021,58077.9516,55116.25835
BTC,14/03/2021,60743.04182,57227.23345,61556.59449,56124.14999
BTC,15/03/2021,60197.90199,60972.49128,61453.05834,59275.70383
BTC,16/03/2021,56300.33411,58962.48846,60570.69365,54790.32931
BTC,17/03/2021,56639.78395,55668.62353,56821.88244,53350.36773
BTC,18/03/2021,58567.28378,56908.56502,58923.54893,54201.70163
BTC,19/03/2021,57983.09474,58883.01836,60074.36985,57075.06857
BTC,20/03/2021,58451.73147,57661.41518,59461.77526,56327.79283
BTC,21/03/2021,58593.60245,58127.68804,59919.21177,57914.89451
BTC,22/03/2021,57796.46737,58139.30027,58649.13419,55645.05427
BTC,23/03/2021,54329.35863,57389.21162,58407.61921,53795.15409
BTC,24/03/2021,54794.29771,54143.10604,55858.36925,53031.32679
BTC,25/03/2021,52787.74553,54375.80763,57225.29881,51777.97109
BTC,26/03/2021,52173.86798,52335.56503,53209.40638,50458.09997
BTC,27/03/2021,54483.04573,51344.04898,54806.88151,51286.29118
BTC,28/03/2021,56234.35611,55067.8244,56520.30729,54022.07694
BTC,29/03/2021,55343.92582,55843.74892,56541.00653,54741.62637
BTC,30/03/2021,57627.67925,55786.54607,58353.52939,54929.68059
BTC,31/03/2021,58734.47543,57613.16126,59379.99216,57069.22927
BTC,1/04/2021,58724.66452,58810.15589,59835.39233,56934.31212
BTC,2/04/2021,58984.61293,58764.43309,59458.98456,57973.3521
BTC,3/04/2021,58821.62699,58726.08457,60101.75233,58478.59835
BTC,4/04/2021,57517.79877,58958.42898,59713.21014,57185.76801
BTC,5/04/2021,58177.40276,57134.86005,58540.98471,56552.22227
BTC,6/04/2021,58843.55954,58230.67554,59243.03618,56846.96905
BTC,7/04/2021,58040.1876,59133.65574,59484.19947,57421.85309
BTC,8/04/2021,56508.94286,58030.62185,58645.77297,55541.90613
BTC,9/04/2021,57880.90568,55996.08036,58179.65686,55758.49118
